row,radius,bounds,initial_speed,extra_radius,threads,GRID_rebuild_count_1,GRID_rebuild_count_2,GRID_rebuild_count_3,GRID_LIST_rebuild_count_1,GRID_LIST_rebuild_count_2,GRID_LIST_rebuild_count_3,GRID_time_1,GRID_time_2,GRID_time_3,GRID_LIST_time_1,GRID_LIST_time_2,GRID_LIST_time_3,GRID_average_time,GRID_LIST_average_time,GRID_speedup,GRID_LIST_speedup
1,8,80,0,1,1,2000,2000,2000,2000,2000,2000,868.242737,866.795898,866.88739,1523.846436,1523.347656,1524.541382,867.30892729,1523.91190329,1,1
2,8,80,0,1,2,2000,2000,2000,2000,2000,2000,446.007904,446.154205,445.988861,779.954895,780.105591,780.244019,446.05032944,780.1015106,1.94441942,1.95347898
3,8,80,0,1,3,2000,2000,2000,2000,2000,2000,351.684204,351.532104,351.435516,611.281738,610.873596,611.186829,351.5506229,611.11407921,2.4670954,2.49366191
4,8,80,0,1,4,2000,2000,2000,2000,2000,2000,239.847351,239.865234,239.757065,411.173126,411.339081,410.656006,239.82322133,411.05617392,3.61645099,3.70730814
5,8,80,0,1,5,2000,2000,2000,2000,2000,2000,197.218491,197.459061,196.953384,342.482758,342.324432,342.925842,197.21042013,342.57777189,4.3978859,4.44836772
6,8,80,0,1,6,2000,2000,2000,2000,2000,2000,180.144241,179.882599,180.055862,311.807434,311.653534,312.430359,180.02760013,311.96395645,4.81764422,4.88489734
7,8,80,0,1,7,2000,2000,2000,2000,2000,2000,171.318787,171.219452,171.162949,295.652802,295.999756,295.792053,171.23374144,295.81490468,5.06505855,5.15157241
8,8,80,0,1,8,2000,2000,2000,2000,2000,2000,155.788498,179.513031,156.160294,265.691132,266.087769,265.90509,164.19604322,265.89471307,5.28215485,5.73126063
9,8,80,0,1,9,2000,2000,2000,2000,2000,2000,154.24649,160.42627,155.288101,279.514404,271.102966,265.85199,156.67690969,272.2146217,5.5356525,5.59820002
10,8,80,0,1,10,2000,2000,2000,2000,2000,2000,147.92923,145.24173,143.546387,256.609009,255.977997,250.891403,145.58363282,254.50567416,5.95746177,5.98773252
11,8,80,0,1,11,2000,2000,2000,2000,2000,2000,136.903915,135.913773,148.810959,292.024261,265.746674,272.29126,140.66501241,276.91273837,6.16577578,5.50322066
12,8,80,0,1,12,2000,2000,2000,2000,2000,2000,222.601868,227.721771,223.714218,356.015656,583.145264,340.524841,224.69004425,440.74282508,3.86002383,3.45759889
13,8,80,0,1,13,2000,2000,2000,2000,2000,2000,169.919022,169.400284,170.703201,282.021271,279.41864,280.901428,170.00834596,280.78246973,5.10156676,5.42737552
14,8,80,0,1,14,2000,2000,2000,2000,2000,2000,167.32843,166.00441,165.130112,275.948151,276.915039,274.215729,166.15677487,275.69523445,5.21982283,5.52752355
15,8,80,0,1,15,2000,2000,2000,2000,2000,2000,162.858566,159.232864,159.786362,270.058563,272.217224,271.752563,160.63384759,271.34436913,5.39929124,5.61615451
16,8,80,0,1,16,2000,2000,2000,2000,2000,2000,158.852371,158.987717,158.370071,265.918976,263.260406,264.170837,158.736941,264.45237396,5.46381278,5.76251927
17,8,80,0,1,17,2000,2000,2000,2000,2000,2000,161.627121,160.252228,160.138062,264.478058,264.846405,265.875946,160.67389512,265.06746315,5.39794548,5.74914734
18,8,80,0,1,18,2000,2000,2000,2000,2000,2000,159.49379,160.428635,158.395279,264.664154,263.638367,263.019165,159.44140029,263.77476763,5.43967204,5.77732251
19,8,80,0,1,19,2000,2000,2000,2000,2000,2000,159.754608,161.147858,160.856522,265.287781,263.636169,264.497284,160.5874503,264.4746047,5.40085122,5.7620349
20,8,80,0,1,20,2000,2000,2000,2000,2000,2000,161.579788,160.886658,159.901733,263.716766,261.01593,262.849304,160.7908671,262.52974751,5.39401859,5.80472086
21,8,80,0,1,21,2000,2000,2000,2000,2000,2000,160.384171,160.161011,159.086868,257.837616,258.307953,255.766464,159.87835304,257.30637957,5.42480523,5.92255779
22,8,80,0,1,22,2000,2000,2000,2000,2000,2000,158.57341,157.225143,157.008041,252.479904,247.863571,248.329483,157.60371917,249.56627969,5.50309936,6.10624121
23,8,80,0,1,23,2000,2000,2000,2000,2000,2000,169.105881,163.323563,168.103943,254.43248,255.183807,254.742599,166.86353793,254.78648183,5.19771388,5.98113327
24,8,80,0,1,24,2000,2000,2000,2000,2000,2000,195.276764,203.311676,192.100327,283.488342,276.034088,278.260773,196.95277588,279.27854409,4.40363901,5.45660214
